"","Jurisdiction","Date","New.Cases","X7.day.Average.New.Cases","Cumulative.cases","Population..2018.","New.Case.Rate","X7.Day.Average.New.Case.Rate","Cumulative.Case.Rate","County.FIPS.Code","Longitude","Latitude","Georeferenced.Lat...Long","Date_adj","phase","phase2"
"4","Huntingdon",2020-08-25,0,2.1,357,45168,0,4.7,790.4,42061,-77.9827661,40.416105,"POINT (-77.9827661 40.416105)",2020-08-11,"return","green"
"28","Huntingdon",2020-06-15,0,0.4,239,45168,0,0.9,529.1,42061,-77.9827661,40.416105,"POINT (-77.9827661 40.416105)",2020-06-01,"green","green"
"70","Clearfield",2020-05-04,0,1.7,28,79388,0,2.2,35.3,42033,-78.47558343,41.000429,"POINT (-78.47558343 41.000429)",2020-04-20,"red","red"
"85","Blair",2020-04-02,0,0.6,5,122492,0,0.5,4.1,42013,-78.34907687,40.48555024,"POINT (-78.34907687 40.48555024)",2020-03-19,"red","local"
"142","Clinton",2020-04-28,1,2.6,31,38684,2.6,6.6,80.1,42035,-77.6428376,41.23286274,"POINT (-77.6428376 41.23286274)",2020-04-14,"red","red"
"153","Blair",2020-07-16,8,4,124,122492,6.5,3.3,101.2,42013,-78.34907687,40.48555024,"POINT (-78.34907687 40.48555024)",2020-07-02,"green","green"
"162","Clearfield",2020-05-15,0,0.7,35,79388,0,0.9,44.1,42033,-78.47558343,41.000429,"POINT (-78.47558343 41.000429)",2020-05-01,"yellow","red"
"165","Union",2020-05-08,1,0.4,34,44785,2.2,1,75.9,42119,-77.06415803,40.96473131,"POINT (-77.06415803 40.96473131)",2020-04-24,"yellow","red"
"190","Clinton",2020-04-17,1,0.6,11,38684,2.6,1.5,28.4,42035,-77.6428376,41.23286274,"POINT (-77.6428376 41.23286274)",2020-04-03,"red","red"
"199","Clinton",2020-07-11,2,2.3,96,38684,5.2,5.9,248.2,42035,-77.6428376,41.23286274,"POINT (-77.6428376 41.23286274)",2020-06-27,"green","green"
"238","Centre",2020-03-09,0,0,0,162805,0,0,0,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-02-24,"pop","base"
"239","Union",2020-06-11,1,1.3,81,44785,2.2,2.9,180.9,42119,-77.06415803,40.96473131,"POINT (-77.06415803 40.96473131)",2020-05-28,"green","yellow"
"245","Blair",2020-05-21,2,1.9,49,122492,1.6,1.5,40,42013,-78.34907687,40.48555024,"POINT (-78.34907687 40.48555024)",2020-05-07,"yellow","red"
"254","Mifflin",2020-04-03,2,0.6,4,46222,4.3,1.2,8.7,42087,-77.62003089,40.61274928,"POINT (-77.62003089 40.61274928)",2020-03-20,"red","local"
