"","Jurisdiction","Date","New.Cases","X7.day.Average.New.Cases","Cumulative.cases","Population..2018.","New.Case.Rate","X7.Day.Average.New.Case.Rate","Cumulative.Case.Rate","County.FIPS.Code","Longitude","Latitude","Georeferenced.Lat...Long","Date_adj","phase","phase2"
"238","Centre",2020-03-09,0,0,0,162805,0,0,0,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-02-24,"pop","base"
"260","Centre",2020-07-24,8,5,313,162805,4.9,3.1,192.3,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-07-10,"green","green"
"276","Centre",2020-03-14,0,0,0,162805,0,0,0,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-02-29,"pop","base"
"338","Centre",2020-04-15,1,2.1,81,162805,0.6,1.3,49.8,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-04-01,"red","red"
"394","Centre",2020-08-25,5,3.4,434,162805,3.1,2.1,266.6,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-08-11,"return","green"
"595","Centre",2020-03-28,8,3.9,28,162805,4.9,2.4,17.2,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-03-14,"red","pop"
"635","Centre",2020-03-29,1,3.7,29,162805,0.6,2.3,17.8,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-03-15,"red","pop"
"801","Centre",2020-06-18,3,1.3,179,162805,1.8,0.8,109.9,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-06-04,"green","green"
"809","Centre",2020-08-08,3,2.7,375,162805,1.8,1.7,230.3,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-07-25,"green","green"
"1273","Centre",2020-07-20,5,6,295,162805,3.1,3.7,181.2,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-07-06,"green","green"
"1327","Centre",2020-06-01,0,1.1,157,162805,0,0.7,96.4,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-05-18,"green","yellow"
"1573","Centre",2020-07-07,3,3.9,234,162805,1.8,2.4,143.7,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-06-23,"green","green"
"1595","Centre",2020-04-10,8,4.1,76,162805,4.9,2.5,46.7,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-03-27,"red","red"
"1625","Centre",2020-08-21,5,3.4,419,162805,3.1,2.1,257.4,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-08-07,"return","green"
"1768","Centre",2020-05-04,0,2.1,115,162805,0,1.3,70.6,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-04-20,"red","red"
"1927","Centre",2020-06-22,7,2.7,195,162805,4.3,1.7,119.8,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-06-08,"green","green"
"2067","Centre",2020-07-03,7,3.6,226,162805,4.3,2.2,138.8,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-06-19,"green","green"
"2109","Centre",2020-05-17,1,1.6,139,162805,0.6,1,85.4,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-05-03,"yellow","red"
"2196","Centre",2020-08-04,3,2.6,363,162805,1.8,1.6,223,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-07-21,"green","green"
"2318","Centre",2020-04-05,1,3.6,54,162805,0.6,2.2,33.2,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-03-22,"red","local"
"2374","Centre",2020-08-15,1,3,396,162805,0.6,1.8,243.2,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-08-01,"return","green"
"2599","Centre",2020-04-06,7,4.1,61,162805,4.3,2.5,37.5,42027,-77.82500112,40.9193135,"POINT (-77.82500112 40.9193135)",2020-03-23,"red","local"
