"day_index","date_format","phase","weekday","X2018","X2019","X2020","diff_18_19","diff_20_19","hour","julian","year"
1,2020-02-14,"base","Friday",10304,15359,21316,5055,5957,"NULL",45,"2020"
2,2020-02-15,"base","Saturday",9668,13158,20819,3490,7661,"NULL",46,"2020"
3,2020-02-16,"base","Sunday",6231,10070,15208,3839,5138,"NULL",47,"2020"
4,2020-02-17,"base","Monday",9243,13124,18297,3881,5173,"NULL",48,"2020"
5,2020-02-18,"base","Tuesday",9491,7358,18034,-2133,10676,"NULL",49,"2020"
6,2020-02-19,"base","Wednesday",10176,13877,18060,3701,4183,"NULL",50,"2020"
7,2020-02-20,"base","Thursday",9863,15005,17919,5142,2914,"NULL",51,"2020"
8,2020-02-21,"base","Friday",10540,16833,21664,6293,4831,"NULL",52,"2020"
9,2020-02-22,"base","Saturday",10133,15701,21439,5568,5738,"NULL",53,"2020"
10,2020-02-23,"base","Sunday",7572,10826,14993,3254,4167,"NULL",54,"2020"
11,2020-02-24,"base","Monday",9084,14047,17919,4963,3872,"NULL",55,"2020"
12,2020-02-25,"base","Tuesday",9783,15803,10752,6020,-5051,"NULL",56,"2020"
13,2020-02-26,"base","Wednesday",10633,6766,19518,-3867,12752,"NULL",57,"2020"
14,2020-02-27,"base","Thursday",10273,14840,18439,4567,3599,"NULL",58,"2020"
15,2020-02-28,"base","Friday",11553,17457,20498,5904,3041,"NULL",59,"2020"
16,2020-02-29,"base","Saturday",11335,14703,20597,3368,5894,"NULL",60,"2020"
17,2020-03-01,"base","Sunday",7896,10579,14688,2683,4109,"NULL",61,"2020"
18,2020-03-02,"base","Monday",9699,14266,18220,4567,3954,"NULL",62,"2020"
19,2020-03-03,"base","Tuesday",9752,14747,18516,4995,3769,"NULL",63,"2020"
20,2020-03-04,"base","Wednesday",9864,15149,17075,5285,1926,"NULL",64,"2020"
21,2020-03-05,"base","Thursday",9478,13999,16570,4521,2571,"NULL",65,"2020"
22,2020-03-06,"pop","Friday",8723,12958,14259,4235,1301,"NULL",66,"2020"
23,2020-03-07,"pop","Saturday",6074,9039,8969,2965,-70,"NULL",67,"2020"
24,2020-03-08,"pop","Sunday",3902,5192,6023,1290,831,"NULL",68,"2020"
25,2020-03-09,"pop","Monday",5144,7350,8343,2206,993,"NULL",69,"2020"
26,2020-03-10,"pop","Tuesday",4969,7508,8099,2539,591,"NULL",70,"2020"
