Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2018),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,County FIPS Code,Longitude,Latitude,Georeferenced Lat & Long
Mckean,03/07/2020,0,,0,40968,0,,0,,,,
Perry,08/19/2020,2,3.9,158,46139,4.3,8.4,342.4,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Bradford,09/13/2020,0,0.9,113,60833,0,1.4,185.8,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Huntingdon,08/25/2020,0,2.1,357,45168,0,4.7,790.4,42061,-77.9827661,40.416105,POINT (-77.9827661 40.416105)
Armstrong,05/23/2020,0,0.1,59,65263,0,0.2,90.4,42005,-79.47316899,40.81509526,POINT (-79.47316899 40.81509526)
Pennsylvania,08/29/2020,684,642.3,134030,12807060,5.3,5,1046.5,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Susquehanna,08/16/2020,0,1.1,221,40589,0,2.8,544.5,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Wayne,09/13/2020,0,0.9,201,51276,0,1.7,392,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
Susquehanna,05/25/2020,1,1.6,101,40589,2.5,3.9,248.8,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Beaver,04/19/2020,10,22,337,164742,6.1,13.4,204.6,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Adams,05/09/2020,3,1.7,165,102811,2.9,1.7,160.5,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Lehigh,07/23/2020,19,15.4,4628,368100,5.2,4.2,1257.3,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Sullivan,09/16/2020,1,0.1,11,6071,16.5,2.4,181.2,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Somerset,07/17/2020,1,2.3,93,73952,1.4,3.1,125.8,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Crawford,04/16/2020,0,0.3,19,85063,0,0.3,22.3,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Cumberland,09/07/2020,12,10.4,1633,251423,4.8,4.1,649.5,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Forest,05/09/2020,0,0,7,7279,0,0,96.2,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Cumberland,04/09/2020,10,8.1,108,251423,4,3.2,43,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Potter,05/24/2020,0,0,4,16622,0,0,24.1,42105,-77.89879229,41.74420644,POINT (-77.89879229 41.74420644)
Lancaster,06/03/2020,33,32.9,3307,543557,6.1,6,608.4,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Mercer,05/04/2020,1,0.3,70,110683,0.9,0.3,63.2,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Montour,03/03/2020,0,,0,18240,0,,0,42093,-76.66470527,41.02801824,POINT (-76.66470527 41.02801824)
Warren,11/05/2020,1,1.6,82,39498,2.5,4,207.6,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Bradford,10/19/2020,22,17.9,511,60833,36.2,29.4,840,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Fulton,09/11/2020,1,0.3,40,14523,6.9,2,275.4,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Cambria,09/28/2020,6,5,589,131730,4.6,3.8,447.1,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Northumberland,08/10/2020,33,13.6,516,91083,36.2,14.9,566.5,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Huntingdon,06/15/2020,0,0.4,239,45168,0,0.9,529.1,42061,-77.9827661,40.416105,POINT (-77.9827661 40.416105)
Crawford,06/07/2020,0,0.1,33,85063,0,0.2,38.8,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Bedford,09/15/2020,6,4.9,222,48176,12.5,10.1,460.8,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Berks,11/16/2020,166,161.4,11724,420152,39.5,38.4,2790.4,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Somerset,04/01/2020,0,0.1,3,73952,0,0.2,4.1,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Crawford,08/18/2020,6,2.3,182,85063,7.1,2.7,214,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Cumberland,05/06/2020,20,9.9,436,251423,8,3.9,173.4,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Beaver,09/10/2020,25,8.4,1768,164742,15.2,5.1,1073.2,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Lancaster,07/26/2020,16,36,5336,543557,2.9,6.6,981.7,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Cambria,03/13/2020,0,0,0,131730,0,0,0,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Fayette,12/05/2020,161,111.9,2963,130441,123.4,85.8,2271.5,42051,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
