location_name,street_address,city,latitude,longitude
209 Hair Dezign,209 Jennifer Cir,Pleasant Gap,40.873245,-77.748776
5 Star Nutrition State College,335 Colonnade Blvd,State College,40.812169,-77.9075
814 Cider Works at J L Farm &amp Cidery,3392 Shingletown Rd,State College,40.751391,-77.855303
A & M Financial Services,3569 Circleville Rd,Port Matilda,40.810617,-77.939714
A Caring Touch Massage Therapy,1200 W College Ave,State College,40.784488,-77.874026
A Flower Basket,633 E Howard St,Bellefonte,40.917489,-77.767355
A Insurance Agency Nationwide Insurance,1352 E College Ave,State College,40.809746,-77.831822
A Journey to You,1107 W College Ave,State College,40.785327,-77.873735
A M Logging,116 Thompson Ln,Millheim,40.88886,-77.48819
A Step Beyond Massage Therapy,431 E Beaver Ave,State College,40.797533,-77.85517
AA Plumbing,561 Loveville Rd,Warriors Mark,40.750459,-78.049811
AAA,200 Shiloh Rd,State College,40.837432,-77.801896
AAMCO Transmissions,2146 E College Ave,Lemont,40.820584,-77.815458
Aaron T Roan DMD & Associates,2590 Park Center Blvd Ste 100,State College,40.767223,-77.882095
Aaron's,253 Benner Pike Ste C,State College,40.829344,-77.806359
Aaronsburg Reformed Cemetery,Pine Street And Cemetery Lane,Aaronsburg,40.902795,-77.453572
Aaronsburg Salem Lutheran Cemetery,Union Alley And Plum Street,Aaronsburg,40.902049,-77.450418
AAUW Used Book Sale,800 E Park Ave Pennsylvania State University,State College,40.814694,-77.854442
Abba's House Babyland And Daycare,200 Ellis Pl,State College,40.843276,-77.799677
Abc Children's Center,143 Brackenbourne Dr,Port Matilda,40.800456,-77.960667
Abc Children's Center,2201 University Dr,State College,40.775164,-77.848792
ABC Supply,121 N Harrison Rd,Pleasant Gap,40.873006,-77.737857
Above All Bail Bonds Bellefonte,102 S Allegheny St,Bellefonte,40.912177,-77.777364
Above All Bail Bonds Centre,700 Rishel Hill Rd,Bellefonte,40.878595,-77.775985
Absolute Auto Repairs and Sales,7980 S Eagle Valley Rd,Port Matilda,40.815974,-78.03569
Abundance Wealth Counselors,232 Regent Ct,State College,40.783896,-77.81996
Abundant Life Ministries Of Philipsburg Inc,102 Fairway Dr,Philipsburg,40.886531,-78.184837
Ace Hardware,422 N Centre St,Philipsburg,40.900125,-78.22322
Ace Hardware,150 Rolling Ridge Dr,State College,40.785724,-77.827341
Active Foot Care,315 S Allen St Ste 118,State College,40.792382,-77.858164
Adam Cole Salon,129 Moses Thompson Ln,State College,40.805648,-77.840045
Adams Elaine Beauty Shop,11 W Presqueisle St,Philipsburg,40.895523,-78.222814
Adolf H PHD,1950 Cliffside Dr,State College,40.789241,-77.829957
Adrian's Dog House,141 E College Ave,Pleasant Gap,40.86958,-77.74511
Adult Transitional Care,906 W College Ave,State College,40.7866,-77.871437
Advance Auto Parts,1602 N Atherton St,Park Forest Village,40.807126,-77.892431
Advance Auto Parts,497 Benner Pike,State College,40.83408,-77.804421
Advanced Chiropractic of State College,1760 S Atherton St,State College,40.784187,-77.834401
Advanced Dentistry Eddie Kotary DMD,2014 Sandy Dr,State College,40.785146,-77.902015
Advanced Eye Care Services,1470 Martin St,Park Forest Village,40.804041,-77.891214
