date,visit_counts
2018-01-01,1951
2018-01-02,1911
2018-01-03,4938
2018-01-04,4575
2018-01-05,4866
2018-01-06,5852
2018-01-07,6299
2018-01-08,9242
2018-01-09,8853
2018-01-10,9122
2018-01-11,9080
2018-01-12,9800
2018-01-13,6905
2018-01-14,6308
2018-01-15,7128
2018-01-16,8194
2018-01-17,10106
2018-01-18,9541
2018-01-19,10757
2018-01-20,7907
2018-01-21,5728
2018-01-22,8701
2018-01-23,8847
2018-01-24,9085
2018-01-25,8779
2018-01-26,10577
2018-01-27,8726
2018-01-28,6153
2018-01-29,8722
2018-01-30,8783
2018-01-31,9410
2018-02-01,9227
2018-02-02,10499
2018-02-03,9335
2018-02-04,5033
2018-02-05,8841
2018-02-06,9632
2018-02-07,4111
2018-02-08,8991
2018-02-09,10304
2018-02-10,9668
2018-02-11,6231
2018-02-12,9243
2018-02-13,9491
2018-02-14,10176
2018-02-15,9863
2018-02-16,10540
2018-02-17,10133
2018-02-18,7572
2018-02-19,9084
2018-02-20,9783
2018-02-21,10633
2018-02-22,10273
2018-02-23,11553
2018-02-24,11335
2018-02-25,7896
2018-02-26,9699
2018-02-27,9752
2018-02-28,9864
2018-03-01,9478
2018-03-02,8723
2018-03-03,6074
2018-03-04,3902
2018-03-05,5144
2018-03-06,4969
2018-03-07,5051
2018-03-08,5694
2018-03-09,5838
2018-03-10,5148
2018-03-11,5461
2018-03-12,9703
2018-03-13,11074
2018-03-14,10104
2018-03-15,4682
2018-03-16,12178
2018-03-17,9569
2018-03-18,7853
2018-03-19,10883
2018-03-20,9705
2018-03-21,9758
2018-03-22,11369
2018-03-23,14226
2018-03-24,12319
2018-03-25,9271
2018-03-26,12767
2018-03-27,12035
2018-03-28,12853
2018-03-29,12028
2018-03-30,11160
2018-03-31,9059
2018-04-01,5562
2018-04-02,10691
2018-04-03,11644
2018-04-04,11834
2018-04-05,12689
2018-04-06,13567
2018-04-07,11871
2018-04-08,8901
2018-04-09,11359
2018-04-10,10917
2018-04-11,11509
2018-04-12,11872
2018-04-13,14752
2018-04-14,13040
2018-04-15,9417
2018-04-16,13086
2018-04-17,12866
2018-04-18,13711
2018-04-19,13030
2018-04-20,16588
2018-04-21,18395
2018-04-22,11975
2018-04-23,13767
2018-04-24,13778
2018-04-25,13910
2018-04-26,13757
2018-04-27,15295
2018-04-28,12410
2018-04-29,8783
2018-04-30,12170
2018-05-01,12363
2018-05-02,13252
2018-05-03,14048
2018-05-04,16072
2018-05-05,14377
2018-05-06,9631
2018-05-07,9335
2018-05-08,8644
2018-05-09,8501
2018-05-10,9046
2018-05-11,9112
2018-05-12,7285
2018-05-13,5001
2018-05-14,7716
2018-05-15,8013
2018-05-16,7511
2018-05-17,8015
2018-05-18,9432
2018-05-19,7373
2018-05-20,6204
2018-05-21,8997
2018-05-22,8382
2018-05-23,7971
2018-05-24,8207
2018-05-25,9307
2018-05-26,8259
2018-05-27,7298
2018-05-28,5258
2018-05-29,8181
2018-05-30,8155
2018-05-31,9130
2018-06-01,9781
2018-06-02,7999
2018-06-03,5496
2018-06-04,7835
2018-06-05,8473
2018-06-06,8155
2018-06-07,8115
2018-06-08,8304
2018-06-09,6993
2018-06-10,5691
2018-06-11,7808
2018-06-12,8518
2018-06-13,8773
2018-06-14,8383
2018-06-15,8910
2018-06-16,8106
2018-06-17,6341
2018-06-18,8120
2018-06-19,8107
2018-06-20,8757
2018-06-21,8431
2018-06-22,9170
2018-06-23,7320
2018-06-24,7442
2018-06-25,8397
2018-06-26,8839
2018-06-27,9212
2018-06-28,9583
2018-06-29,9735
2018-06-30,7351
2018-07-01,6172
2018-07-02,9157
2018-07-03,9105
2018-07-04,7220
2018-07-05,8524
2018-07-06,8515
2018-07-07,6348
2018-07-08,5908
2018-07-09,8587
2018-07-10,9195
2018-07-11,9955
2018-07-12,10436
2018-07-13,12690
2018-07-14,12634
2018-07-15,8694
2018-07-16,8501
2018-07-17,8598
2018-07-18,8854
2018-07-19,9204
2018-07-20,10698
2018-07-21,8117
2018-07-22,6415
2018-07-23,8871
2018-07-24,8294
2018-07-25,8670
2018-07-26,9565
2018-07-27,10053
2018-07-28,7138
2018-07-29,6252
2018-07-30,8820
2018-07-31,8279
2018-08-01,8330
2018-08-02,8359
2018-08-03,9047
2018-08-04,7458
2018-08-05,5695
2018-08-06,7714
2018-08-07,8138
2018-08-08,8536
2018-08-09,8130
2018-08-10,9049
2018-08-11,7886
2018-08-12,6331
2018-08-13,8341
2018-08-14,8575
