,full_moon_date,full_moon_less1,full_moon_more1,full_moon_less2,full_moon_more2,full_moon_more3
1,1/23/16,1/22/16,1/24/16,1/21/16,1/25/16,1/26/16
2,2/22/16,2/21/16,2/23/16,2/20/16,2/24/16,2/25/16
3,3/23/16,3/22/16,3/24/16,3/21/16,3/25/16,3/26/16
4,4/22/16,4/21/16,4/23/16,4/20/16,4/24/16,4/25/16
5,5/21/16,5/20/16,5/22/16,5/19/16,5/23/16,5/24/16
6,6/20/16,6/19/16,6/21/16,6/18/16,6/22/16,6/23/16
7,7/19/16,7/18/16,7/20/16,7/17/16,7/21/16,7/22/16
8,8/18/16,8/17/16,8/19/16,8/16/16,8/20/16,8/21/16
9,9/16/16,9/15/16,9/17/16,9/14/16,9/18/16,9/19/16
10,10/16/16,10/15/16,10/17/16,10/14/16,10/18/16,10/19/16
11,11/14/16,11/13/16,11/15/16,11/12/16,11/16/16,11/17/16
12,12/13/16,12/12/16,12/14/16,12/11/16,12/15/16,12/16/16
13,1/12/17,1/11/17,1/13/17,1/10/17,1/14/17,1/15/17
14,2/10/17,2/9/17,2/11/17,2/8/17,2/12/17,2/13/17
15,3/12/17,3/11/17,3/13/17,3/10/17,3/14/17,3/15/17
16,4/11/17,4/10/17,4/12/17,4/9/17,4/13/17,4/14/17
17,5/10/17,5/9/17,5/11/17,5/8/17,5/12/17,5/13/17
18,6/9/17,6/8/17,6/10/17,6/7/17,6/11/17,6/12/17
19,7/9/17,7/8/17,7/10/17,7/7/17,7/11/17,7/12/17
20,8/7/17,8/6/17,8/8/17,8/5/17,8/9/17,8/10/17
21,9/6/17,9/5/17,9/7/17,9/4/17,9/8/17,9/9/17
22,10/5/17,10/4/17,10/6/17,10/3/17,10/7/17,10/8/17
23,11/4/17,11/3/17,11/5/17,11/2/17,11/6/17,11/7/17
24,12/3/17,12/2/17,12/4/17,12/1/17,12/5/17,12/6/17
25,1/1/18,12/31/17,1/2/18,12/30/17,1/3/18,1/4/18
26,1/31/18,1/30/18,2/1/18,1/29/18,2/2/18,2/3/18
27,3/1/18,2/28/18,3/2/18,2/27/18,3/3/18,3/4/18
28,3/31/18,3/30/18,4/1/18,3/29/18,4/2/18,4/3/18
29,4/29/18,4/28/18,4/30/18,4/27/18,5/1/18,5/2/18
30,5/29/18,5/28/18,5/30/18,5/27/18,5/31/18,6/1/18
31,6/28/18,6/27/18,6/29/18,6/26/18,6/30/18,7/1/18
32,7/27/18,7/26/18,7/28/18,7/25/18,7/29/18,7/30/18
33,8/26/18,8/25/18,8/27/18,8/24/18,8/28/18,8/29/18
34,9/24/18,9/23/18,9/25/18,9/22/18,9/26/18,9/27/18
35,10/24/18,10/23/18,10/25/18,10/22/18,10/26/18,10/27/18
36,11/23/18,11/22/18,11/24/18,11/21/18,11/25/18,11/26/18
37,12/22/18,12/21/18,12/23/18,12/20/18,12/24/18,12/25/18
38,1/21/19,1/20/19,1/22/19,1/19/19,1/23/19,1/24/19
39,2/19/19,2/18/19,2/20/19,2/17/19,2/21/19,2/22/19
40,3/20/19,3/19/19,3/21/19,3/18/19,3/22/19,3/23/19
41,4/19/19,4/18/19,4/20/19,4/17/19,4/21/19,4/22/19
42,5/18/19,5/17/19,5/19/19,5/16/19,5/20/19,5/21/19
43,6/17/19,6/16/19,6/18/19,6/15/19,6/19/19,6/20/19
44,7/16/19,7/15/19,7/17/19,7/14/19,7/18/19,7/19/19
45,8/15/19,8/14/19,8/16/19,8/13/19,8/17/19,8/18/19
46,9/14/19,9/13/19,9/15/19,9/12/19,9/16/19,9/17/19
47,10/13/19,10/12/19,10/14/19,10/11/19,10/15/19,10/16/19
48,11/12/19,11/11/19,11/13/19,11/10/19,11/14/19,11/15/19
49,12/12/19,12/11/19,12/13/19,12/10/19,12/14/19,12/15/19
50,1/10/20,1/9/20,1/11/20,1/8/20,1/12/20,1/13/20
51,2/9/20,2/8/20,2/10/20,2/7/20,2/11/20,2/12/20
52,3/9/20,3/8/20,3/10/20,3/7/20,3/11/20,3/12/20
53,4/7/20,4/6/20,4/8/20,4/5/20,4/9/20,4/10/20
54,5/7/20,5/6/20,5/8/20,5/5/20,5/9/20,5/10/20
55,6/5/20,6/4/20,6/6/20,6/3/20,6/7/20,6/8/20
56,7/5/20,7/4/20,7/6/20,7/3/20,7/7/20,7/8/20
57,8/3/20,8/2/20,8/4/20,8/1/20,8/5/20,8/6/20
58,9/2/20,9/1/20,9/3/20,8/31/20,9/4/20,9/5/20
59,10/1/20,9/30/20,10/2/20,9/29/20,10/3/20,10/4/20
60,10/31/20,10/30/20,11/1/20,10/29/20,11/2/20,11/3/20
61,11/30/20,11/29/20,12/1/20,11/28/20,12/2/20,12/3/20
62,12/29/20,12/28/20,12/30/20,12/27/20,12/31/20,1/1/21
