Jurisdiction,start_date,phases,,
Centre,3/28/20,red,,
Clearfield,4/1/20,red,,
Clinton,4/1/20,red,,
Union,4/1/20,red,,
Blair,4/1/20,red,,
Mifflin,4/1/20,red,,
Huntingdon,4/1/20,red,,
Centre,5/8/20,yellow,,
Clearfield,5/8/20,yellow,,
Clinton,5/8/20,yellow,,
Union,5/8/20,yellow,,
Blair,5/15/20,yellow,,
Mifflin,5/22/20,yellow,,
Huntingdon,5/29/20,yellow,,
Centre,5/29/20,green,,
Clearfield,5/29/20,green,,
Clinton,6/5/20,green,,
Union,6/12/20,green,,
Blair,6/5/20,green,,
Mifflin,6/12/20,green,,
Huntingdon,6/19/20,green,,
